Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_S&P 500,Change %_S&P 500,a1_S&P 500,動能差input_S&P 500,Price_FTSE Italia Mid Cap,Change %_FTSE Italia Mid Cap,local risk covarience_FTSE Italia Mid Cap,向量寬度_FTSE Italia Mid Cap,Price_EUR_USD,Change %_EUR_USD,Price_USD_JPY,Change %_USD_JPY,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,label 1 N+1到N+5天短期(5D)vol2 的標準化平均減 N到N-4短期(5D)vol2 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 Ken
Mar 10 2017,19658.37,0.0045000000000000005,0.10110827859280404,-1.0865572946766378,0.14305880572246035,-1.6039880897681271,0.7752243207418087,1.4730846232540369,0.19538807868339386,-0.22131779354065245,1.6944024167946894,2372.6,0.0033,8.285581218915958,-23.1579063119716,35204.14,0.008100000000000001,0.9076515253155407,0.007351977355055881,1.0672,0.009000000000000001,114.75,-0.0017000000000000001,2.575,-0.013000000000000001,0.011080281492267585,0.009956554620391037,-0.04310497319530157
Mar 13 2017,19706.95,0.0025,0.030048560697645478,-1.4057382909042977,0.1394438426864295,-1.6559052277272437,1.0029814340249101,1.5341351032285915,0.2074846697532041,0.17797987594875053,1.356155227279841,2373.47,0.0004,8.303012045654675,-41.371544339544926,35358.62,0.0044,-2.5859322438363326,-0.011378101872879864,1.0654,-0.0017000000000000001,114.88,0.0011,2.626,0.0171,-0.9842606548399278,0.11067259127378096,0.021855387065499138
Mar 14 2017,19537.4,-0.0086,0.0868424089946846,-0.20243980355832472,0.14281065749703925,-1.2585238101353222,0.6441825098015778,-0.5906888578756558,0.21010645813633497,0.37949743739468333,-0.9701862952703392,2365.45,-0.0034000000000000002,8.259485510156631,102.95984339384813,35368.57,0.0003,-0.05966302850240844,-1.789890855072253e-05,1.0604,-0.004699999999999999,114.75,-0.0011,2.602,-0.0091,-1.200918943349743,0.06813760377878869,0.05992266056054478
Mar 15 2017,19774.02,0.0121,0.1183763658844116,0.6515845922324359,0.14487789305044663,-1.0017116951969234,0.6156927403230036,-0.7078030971287668,0.2063633062618722,0.4063377296425742,-1.114140826771341,2385.26,0.0084,8.290089969227672,-72.99959204379047,35474.44,0.003,0.24456151596551678,0.0007336845478965504,1.0735,0.0124,113.38,-0.011899999999999999,2.5,-0.0392,-1.1365588666820559,0.04100911729207772,0.06628082376137114
Mar 16 2017,20109.76,0.017,0.15566329047016866,1.242706569198019,0.15445812002644949,-0.19745367617426393,0.7313899026128484,-0.1466908427848145,0.19740201266634907,0.2266780347708576,-0.3733688775556721,2381.38,-0.0016,8.444582552973484,-367.9055490806022,36023.89,0.0155,5.297003398076337,0.08210355267018322,1.0766,0.0029,113.31,-0.0006,2.537,0.0148,-0.9188909312174232,-0.007749645465848082,0.04950586407637744
Mar 17 2017,20074.28,-0.0018,0.1643935400190655,0.9721552636245949,0.15327373963976254,-0.21948049544140386,0.8708145780517708,0.6021312249166172,0.1863355078610059,-0.12154336590563684,0.723674590822254,2378.25,-0.0013,8.440777882897088,9.048456609190907,36209.87,0.0052,-1.9697206866526566,-0.010242547570593815,1.0738,-0.0026,112.72,-0.0052,2.501,-0.014199999999999999,-0.7005977880034331,-0.030147955970631635,0.023180750835238448
Mar 20 2017,19968.55,-0.0053,0.17833015448880227,1.0051164037471256,0.15526336098113327,0.026276741287401713,0.5939853375025304,-0.8590496888057706,0.17524823964285297,-0.5607141894347106,-0.29833549937105996,2373.47,-0.002,8.413230417911329,65.38308171974859,36710.76,0.0138,146.52537049084756,2.0220501127736963,1.0739,0.0001,112.56,-0.0014000000000000002,2.463,-0.015,0.04397757820936743,-0.06214406164402646,-0.02453505912665098
Mar 21 2017,19918.84,-0.0025,0.1581367130049189,0.14173637396614897,0.15626685677492716,0.18763524606471763,0.35355118276042036,-1.46240680333503,0.16648377837656944,-0.9015619650931254,-0.5608448382419046,2344.02,-0.0124,8.49772612861665,-198.0596358074872,36887.79,0.0048,0.7206055513220037,0.003458906646345617,1.0811,0.0067,111.72,-0.0075,2.416,-0.0191,0.3831834138819953,-0.05417284591015163,-0.05101614567870637
Mar 22 2017,19953.44,0.0017000000000000001,0.14040371789949183,-1.3773513576792826,0.1512201740927162,-0.2167027652021748,0.2187721967438525,-1.2525809955436253,0.15553119935647047,-1.3174576928203945,0.06487669727676915,2348.45,0.0019,8.496429559922502,3.044926749771548,37069.75,0.0049,-3.785570483442328,-0.018549295368867406,1.0797,-0.0013,111.16,-0.005,2.403,-0.0054,0.430135657800102,-0.04294714403471356,-0.06192890931171141
Mar 23 2017,20167.49,0.010700000000000001,0.09830409960932492,-1.6055860994330402,0.15177338647505062,-0.07698023854232307,0.49049198850118575,-0.0605114646259159,0.14378613247826091,-1.7607709591848266,1.7002594945589107,2345.96,-0.0011,8.596689628126652,-235.2061096042089,37633.62,0.0152,-11.540232624065803,-0.17541153588580022,1.0783,-0.0013,110.94,-0.002,2.418,0.0062,0.23544639635653114,-0.002925008099271445,-0.05253455349426747
