Date,Price,Change %,vol 5D,vol 5D standardize,vol 20D,vol 20D standardize,vol2 5D,vol2 5D standardize,vol2 20D,vol2 20D standardize,vol2 5D sta - vol2 20D sta,Price_S&P 500,Change %_S&P 500,a1_S&P 500,動能差input_S&P 500,Price_NASDAQ Russia Small Cap,Change %_NASDAQ Russia Small Cap,local risk covarience_NASDAQ Russia Small Cap,向量寬度_NASDAQ Russia Small Cap,Price_USD_RUB,Change %_USD_RUB,Price_USD_JPY,Change %_USD_JPY,Price_United States 10-Year Bond Yield,Change %_United States 10-Year Bond Yield,label 1 N+1到N+5天短期(5D)vol2 的標準化平均減 N到N-4短期(5D)vol2 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 Ken
May 05 2016,1906.48,-0.009899999999999999,0.2030274464204276,0.812555430184989,0.17596478266074186,1.7551912400181884,0.6403015724789775,0.709264903314091,0.2783283769021287,1.9865997587990363,-1.2773348554849453,2050.63,-0.0002,0.9297045298274188,18.63999073676814,504.32,-0.001,-0.09353257683516182,9.353257683516183e-05,65.8616,-0.0101,107.25,0.0021,1.742,-0.0197,-0.5025294341277149,-0.06246713700183856,-0.029692544929260684
May 06 2016,1901.56,-0.0026,0.2023529688440464,0.8315011504771697,0.17652056030538296,1.6254429102240546,0.2289345015829269,-1.7420059608511875,0.2761352437210174,1.6592160215552374,-3.401221982406425,2057.14,0.0032,0.9243707282926782,10.972376489176213,507.2,0.005699999999999999,-4.38480632983363,-0.02499339608005169,65.947,0.0013,107.12,-0.0012,1.779,0.0212,0.20583126496269377,-0.07667721012387402,-0.06468570128137408
May 11 2016,1909.05,0.0126,0.1652283873915121,-0.022889958867080156,0.1818149889600039,1.6475849317482572,0.9311941327259278,0.9238112053519535,0.2627189378470427,1.10931172341157,-0.18550051805961643,2064.46,-0.0096,0.9247212346085659,-41.73677339653318,509.32,0.0104,0.517920033201909,0.005386368345299854,64.9921,-0.0195,108.42,-0.0078000000000000005,1.735,-0.0108,-0.912766926013872,-0.051683437511979055,-0.05302615601227946
May 12 2016,1901.9,-0.0037,0.1420276170327434,-0.23959794097300907,0.17361798718359867,1.0544316486270668,0.8996959039299128,0.5693623839174908,0.25441029660933157,0.8494898145265853,-0.2801274306090945,2064.11,-0.0002,0.9214140719244613,6.826347567887069,510.93,0.0032,2.1778678888863494,0.006969177244436318,64.8982,-0.0014000000000000002,109.03,0.005600000000000001,1.748,0.0075,-1.2173702383271392,-0.032831527449510636,-0.04641086407511351
May 13 2016,1907.19,0.0028000000000000004,0.12779422522164155,-0.2522959637604988,0.1732539760309308,0.9525233695743658,0.8032443364800983,0.14619815088989047,0.23892022045459868,0.3594701866729026,-0.21327203578301213,2046.61,-0.0085,0.9318775927020782,-21.414746258678406,511.22,0.0006,-0.06673339408181296,-4.0040036449087776e-05,65.4546,0.0086,108.61,-0.0039000000000000003,1.702,-0.0263,-1.2411349435653407,-0.020935011773964868,-0.033701095970912365
May 16 2016,1915.33,0.0043,0.12793021535196308,0.06093832521975246,0.16150497466674296,0.10429040018234746,0.5872886956891703,-1.6678157350668223,0.22796362534391337,0.003187829871978821,-1.671003564938801,2066.66,0.0098,0.926775570243775,10.544145733676714,515.84,0.009000000000000001,1.0319328970708077,0.00928739607363727,64.8914,-0.0086,109.03,0.0039000000000000003,1.757,0.032400000000000005,-1.0275576208963477,-0.022356704236327574,-0.020102247604536883
May 17 2016,1909.0,-0.0033,0.1057211237170683,-1.280775586676844,0.15886941509501315,-0.15183124674642678,0.34728242566702244,-1.495569025741784,0.21591387903709258,-0.4048324832298316,-1.0907365425119524,2047.21,-0.009399999999999999,0.9324886064448689,-11.695784841241448,517.9,0.004,1.674254861899688,0.006697019447598752,64.7376,-0.0024,109.14,0.001,1.772,0.0085,0.11394935531985956,0.009724367452001031,-0.01829482257391668
May 18 2016,1917.24,0.0043,0.06425156807424738,-1.6180713744490898,0.15884280213303245,-0.27418018639508973,0.4836054759916108,-0.619986475925953,0.1920690915306301,-1.1604173681585663,0.5404308922326133,2047.63,0.0002,0.9363215033966097,-7.848354785293168,518.01,0.0002,-0.011188080779428249,-2.23761615588565e-06,65.9901,0.019299999999999998,110.19,0.0096,1.859,0.049100000000000005,0.3794644060247652,0.07163120717040343,0.02233782536511776
May 19 2016,1891.52,-0.0134,0.12028331555124189,0.4152293320517321,0.16373308349743787,0.018376969791117165,0.42387240558345113,-0.5956401339507078,0.16557653092421543,-1.8443818670756214,1.2487417331249135,2040.04,-0.0037,0.9271975059312563,18.61331978921953,500.96,-0.0329,2.8809736642950727,-0.09478403355530789,66.779,0.012,109.97,-0.002,1.847,-0.006500000000000001,0.5556925397623788,0.01973030871176082,0.030817534679769956
May 20 2016,1891.33,-0.0001,0.11610984454386122,0.36808142165405533,0.14614905585160584,-1.5577793625444203,0.3989585115313109,-0.5356921277253174,0.1734381747134231,-1.511294678856385,0.9756025511310676,2052.32,0.006,0.9215570671240352,11.575985372836158,502.48,0.003,-46.98121318260847,-0.1409436395478254,66.7833,0.0001,110.15,0.0016,1.844,-0.0016,0.5645816768710894,0.029031566364870698,0.03828219746105524
