Date,Price,Open,High,Low,Vol.,Change %
Mar 25 2013,863.15,867.05,867.61,863.14,59.74M,-0.42%
Mar 26 2013,863.41,862.44,864.51,860.20,58.82M,0.03%
Mar 27 2013,867.94,862.41,867.94,861.66,71.98M,0.52%
Mar 28 2013,869.88,866.32,870.12,866.10,72.16M,0.22%
Apr 01 2013,864.51,869.83,869.86,863.74,43.79M,-0.62%
Apr 02 2013,860.01,863.71,864.51,859.86,76.32M,-0.52%
Apr 03 2013,845.58,860.11,861.38,843.55,92.12M,-1.68%
Apr 04 2013,845.21,844.47,845.58,842.19,76.47M,-0.04%
Apr 05 2013,847.12,841.36,847.25,840.42,69.71M,0.23%
Apr 08 2013,848.17,846.40,848.36,844.78,57.58M,0.12%
Apr 09 2013,857.74,849.47,858.51,848.20,76.95M,1.13%
Apr 10 2013,858.66,857.64,859.36,857.36,67.23M,0.11%
Apr 11 2013,857.75,858.60,859.18,856.40,56.10M,-0.11%
Apr 12 2013,847.56,852.95,857.75,845.57,81.48M,-1.19%
Apr 15 2013,821.22,834.69,847.56,820.50,118.01M,-3.11%
Apr 16 2013,828.53,826.44,829.51,821.22,83.45M,0.89%
Apr 17 2013,813.21,826.26,828.40,811.84,111.56M,-1.85%
Apr 18 2013,819.65,816.42,822.08,813.53,92.95M,0.79%
Apr 19 2013,824.18,821.85,824.18,819.92,70.47M,0.55%
Apr 22 2013,827.79,828.24,827.99,823.54,64.54M,0.44%
Apr 23 2013,830.28,827.46,831.13,825.20,73.97M,0.30%
Apr 24 2013,843.11,832.49,843.43,830.32,95.73M,1.55%
Apr 25 2013,852.89,846.45,854.64,843.11,97.10M,1.16%
Apr 26 2013,846.63,851.34,852.89,844.46,75.60M,-0.73%
Apr 29 2013,849.37,849.35,851.43,846.60,58.28M,0.32%
Apr 30 2013,863.19,849.96,863.19,848.37,95.01M,1.63%
May 01 2013,854.40,857.09,863.19,852.02,80.64M,-1.02%
May 02 2013,856.27,855.36,857.45,852.93,82.51M,0.22%
May 03 2013,859.62,860.30,863.31,856.46,76.64M,0.39%
May 06 2013,858.87,861.13,861.80,858.83,57.32M,-0.09%
May 07 2013,854.66,857.52,858.54,853.64,73.02M,-0.49%
May 08 2013,860.51,855.04,860.62,854.08,88.44M,0.68%
May 09 2013,860.59,859.32,863.18,858.28,88.52M,0.01%
May 10 2013,862.58,857.56,862.58,856.59,82.55M,0.23%
May 13 2013,859.25,861.55,862.60,858.09,67.92M,-0.39%
May 14 2013,858.85,857.66,861.08,857.66,76.50M,-0.05%
May 15 2013,852.90,856.18,858.85,851.51,79.35M,-0.69%
May 16 2013,856.92,852.00,858.21,851.75,71.47M,0.47%
May 17 2013,860.14,857.36,860.93,856.87,68.95M,0.38%
May 21 2013,867.90,863.21,870.57,860.14,98.14M,0.90%
May 22 2013,866.38,870.24,875.48,866.24,105.73M,-0.18%
May 23 2013,862.98,860.86,866.38,857.83,73.90M,-0.39%
May 24 2013,861.75,861.24,864.78,860.46,53.26M,-0.14%
May 27 2013,866.53,862.96,866.53,861.79,27.59M,0.55%
May 28 2013,864.93,868.26,869.34,864.89,73.18M,-0.18%
May 29 2013,860.86,862.31,864.41,858.23,75.59M,-0.47%
May 30 2013,864.51,862.04,864.71,861.02,95.14M,0.42%
May 31 2013,860.79,861.05,864.49,859.16,144.73M,-0.43%
Jun 03 2013,864.49,861.95,864.52,860.79,78.63M,0.43%
Jun 04 2013,861.57,862.87,864.40,860.21,64.89M,-0.34%
Jun 05 2013,854.54,860.39,861.53,852.67,76.10M,-0.82%
Jun 06 2013,854.31,853.10,855.76,850.98,66.19M,-0.03%
Jun 07 2013,851.94,853.52,854.85,850.59,77.27M,-0.28%
Jun 10 2013,849.84,852.39,852.57,848.91,48.28M,-0.25%
Jun 11 2013,838.58,844.14,849.81,838.12,66.51M,-1.32%
Jun 12 2013,828.35,839.44,839.22,827.74,89.37M,-1.22%
Jun 13 2013,837.95,825.45,838.04,825.18,75.59M,1.16%
Jun 14 2013,836.16,839.72,841.07,835.67,59.86M,-0.21%
Jun 17 2013,842.98,839.52,844.26,836.45,67.43M,0.82%
Jun 18 2013,843.97,844.02,846.33,842.96,67.52M,0.12%
Jun 19 2013,837.64,844.26,844.81,836.75,78.16M,-0.75%
Jun 20 2013,815.24,825.54,837.53,813.26,121.50M,-2.67%
Jun 21 2013,813.73,819.78,821.07,813.31,199.42M,-0.19%
Jun 24 2013,800.05,808.30,813.20,790.72,79.54M,-1.68%
Jun 25 2013,814.73,806.12,814.73,800.05,96.47M,1.83%
Jun 26 2013,810.60,812.36,815.61,810.19,77.54M,-0.51%
Jun 27 2013,816.84,813.71,819.55,810.55,80.26M,0.77%
Jun 28 2013,828.10,816.37,828.92,816.13,90.36M,1.38%
Jul 02 2013,833.65,833.30,833.79,828.10,72.53M,0.67%
Jul 03 2013,831.74,832.44,833.64,828.58,57.46M,-0.23%
Jul 04 2013,833.06,833.14,833.70,831.74,20.22M,0.16%
Jul 05 2013,833.48,832.19,833.62,828.41,52.40M,0.05%
Jul 08 2013,835.92,836.40,837.51,833.48,56.30M,0.29%
Jul 09 2013,837.02,837.82,837.23,834.02,61.55M,0.13%
Jul 10 2013,840.89,838.21,840.89,836.51,60.52M,0.46%
Jul 11 2013,853.79,848.60,853.81,841.60,67.41M,1.53%
Jul 12 2013,851.41,853.85,854.11,850.18,47.52M,-0.28%
Jul 15 2013,854.06,853.37,855.25,851.56,46.03M,0.31%
Jul 16 2013,853.70,855.46,855.24,851.71,60.68M,-0.04%
Jul 17 2013,853.16,855.11,856.27,851.70,67.73M,-0.06%
Jul 18 2013,853.75,854.34,856.28,853.04,64.72M,0.07%
Jul 19 2013,857.89,853.74,858.01,853.74,54.44M,0.48%
Jul 22 2013,862.88,857.89,863.63,857.89,71.33M,0.58%
Jul 23 2013,865.70,862.88,865.98,862.72,79.66M,0.33%
Jul 24 2013,859.13,865.70,866.37,856.35,68.85M,-0.76%
Jul 25 2013,857.80,858.86,860.74,856.73,64.54M,-0.15%
Jul 26 2013,855.35,857.57,857.57,851.98,50.36M,-0.29%
Jul 29 2013,855.42,855.35,855.99,852.81,47.08M,0.01%
Jul 30 2013,854.62,855.42,857.06,853.07,56.88M,-0.09%
Jul 31 2013,857.19,854.62,861.19,854.62,84.69M,0.30%
Aug 01 2013,862.54,857.19,864.12,857.19,73.88M,0.62%
Aug 02 2013,859.41,862.54,862.57,858.51,55.41M,-0.36%
Aug 06 2013,851.51,859.41,859.41,850.21,68.96M,-0.92%
Aug 07 2013,851.34,851.51,851.94,849.45,60.86M,-0.02%
Aug 08 2013,861.62,851.34,861.62,851.34,80.95M,1.21%
Aug 09 2013,862.15,861.62,863.06,859.05,69.36M,0.06%
Aug 12 2013,866.91,862.15,867.46,862.15,71.38M,0.55%
Aug 13 2013,867.34,866.91,867.39,864.05,74.93M,0.05%
Aug 14 2013,865.36,867.34,867.87,865.05,88.12M,-0.23%
Aug 15 2013,868.15,865.36,868.15,859.68,96.46M,0.32%
Aug 16 2013,870.12,868.15,873.31,868.15,67.18M,0.23%
Aug 19 2013,857.76,870.13,870.13,857.76,58.92M,-1.42%
Aug 20 2013,864.50,857.76,865.51,857.75,67.73M,0.79%
Aug 21 2013,856.74,864.47,864.47,856.74,72.92M,-0.90%
Aug 22 2013,861.09,856.89,863.77,856.89,71.87M,0.51%
Aug 23 2013,867.38,861.09,868.00,861.09,66.11M,0.73%
Aug 26 2013,866.79,867.40,870.56,865.57,59.46M,-0.07%
Aug 27 2013,856.24,866.79,866.79,855.12,75.98M,-1.22%
Aug 28 2013,854.39,856.24,859.67,853.68,68.03M,-0.22%
Aug 29 2013,857.99,854.41,859.73,853.14,69.09M,0.42%
Aug 30 2013,858.60,857.99,860.39,857.22,51.82M,0.07%
Sep 03 2013,858.52,858.69,864.71,858.21,56.71M,-0.01%
Sep 04 2013,860.65,858.52,860.90,855.38,62.10M,0.25%
Sep 05 2013,863.58,860.63,863.90,860.63,72.42M,0.34%
Sep 06 2013,865.22,863.58,865.78,863.22,65.12M,0.19%
Sep 09 2013,867.58,865.22,868.72,865.22,56.03M,0.27%
Sep 10 2013,867.68,867.54,868.79,865.64,73.88M,0.01%
Sep 11 2013,869.54,867.68,870.50,865.51,63.55M,0.21%
Sep 12 2013,861.29,869.50,869.50,861.14,64.32M,-0.95%
Sep 13 2013,863.92,861.34,864.48,861.18,64.12M,0.31%
Sep 16 2013,871.30,863.92,872.20,863.92,80.26M,0.85%
Sep 17 2013,870.38,871.30,873.09,869.27,63.24M,-0.11%
Sep 18 2013,883.13,870.40,883.87,868.78,110.26M,1.46%
Sep 19 2013,883.73,883.13,885.77,881.55,83.77M,0.07%
Sep 20 2013,873.49,883.73,883.73,873.49,242.67M,-1.16%
Sep 23 2013,872.55,873.51,874.77,872.06,70.97M,-0.11%
Sep 24 2013,878.94,872.55,880.22,871.22,72.35M,0.73%
Sep 25 2013,878.43,878.94,882.91,878.17,79.10M,-0.06%
Sep 26 2013,874.56,878.43,880.76,874.56,64.88M,-0.44%
Sep 27 2013,876.90,874.57,878.05,874.57,72.22M,0.27%
Sep 30 2013,874.31,876.88,877.96,871.88,97.62M,-0.30%
Oct 01 2013,876.55,874.31,876.74,871.99,84.78M,0.26%
Oct 02 2013,877.17,876.55,879.27,875.06,72.29M,0.07%
Oct 03 2013,869.72,877.17,877.17,867.62,66.64M,-0.85%
Oct 04 2013,869.65,869.72,871.00,868.78,71.87M,-0.01%
Oct 07 2013,871.29,869.67,871.57,866.80,64.64M,0.19%
Oct 08 2013,864.40,871.29,872.54,863.67,64.90M,-0.79%
Oct 09 2013,864.93,864.40,866.34,862.12,73.98M,0.06%
Oct 10 2013,872.68,864.93,874.47,864.93,83.72M,0.90%
Oct 11 2013,872.96,872.68,873.10,870.84,59.80M,0.03%
Oct 15 2013,875.49,872.96,875.49,870.90,66.09M,0.29%
Oct 16 2013,878.28,875.49,878.28,874.90,59.27M,0.32%
