Date,Price,Open,High,Low,Vol.,Change %
Jun 28 2012,6149.91,6232.12,6240.09,6096.94,245.95M,-1.27%
Jun 29 2012,6416.28,6296.74,6416.28,6261.74,223.08M,4.33%
Jul 02 2012,6496.08,6405.39,6520.40,6390.55,162.08M,1.24%
Jul 03 2012,6578.21,6508.33,6578.21,6505.39,141.68M,1.26%
Jul 04 2012,6564.80,6564.30,6573.86,6525.51,102.26M,-0.20%
Jul 05 2012,6535.56,6561.77,6641.86,6475.92,180.05M,-0.45%
Jul 06 2012,6410.11,6508.22,6533.79,6407.84,151.53M,-1.92%
Jul 09 2012,6387.57,6408.64,6420.78,6375.69,117.90M,-0.35%
Jul 10 2012,6438.33,6397.46,6491.40,6349.62,128.39M,0.79%
Jul 11 2012,6453.85,6413.17,6496.53,6399.40,112.36M,0.24%
Jul 12 2012,6419.35,6410.94,6448.22,6366.77,148.46M,-0.53%
Jul 13 2012,6557.10,6446.22,6557.10,6436.09,144.69M,2.15%
Jul 16 2012,6565.72,6550.95,6577.06,6511.18,99.84M,0.13%
Jul 17 2012,6577.64,6583.77,6610.81,6542.89,109.10M,0.18%
Jul 18 2012,6684.42,6601.71,6690.66,6578.86,122.36M,1.62%
Jul 19 2012,6758.39,6706.99,6773.50,6698.87,151.17M,1.11%
Jul 20 2012,6630.02,6741.90,6775.74,6620.72,180.46M,-1.90%
Jul 23 2012,6419.33,6561.87,6572.11,6371.15,217.16M,-3.18%
Jul 24 2012,6390.41,6420.82,6456.00,6378.00,127.06M,-0.45%
Jul 25 2012,6406.52,6387.84,6475.33,6375.15,115.69M,0.25%
Jul 26 2012,6582.96,6393.20,6595.58,6324.53,192.52M,2.75%
Jul 27 2012,6689.40,6605.42,6690.43,6513.97,147.76M,1.62%
Jul 30 2012,6774.06,6729.19,6796.61,6703.26,138.64M,1.27%
Jul 31 2012,6772.26,6780.62,6835.19,6756.18,155.52M,-0.03%
Aug 01 2012,6754.46,6775.99,6800.10,6735.89,112.33M,-0.26%
Aug 02 2012,6606.09,6756.16,6855.71,6596.21,237.75M,-2.20%
Aug 03 2012,6865.66,6626.30,6876.74,6621.36,176.77M,3.93%
Aug 06 2012,6918.72,6845.88,6943.32,6845.88,118.90M,0.77%
Aug 07 2012,6967.95,6909.28,6979.63,6902.86,132.94M,0.71%
Aug 08 2012,6966.15,6944.89,6966.15,6907.29,121.07M,-0.03%
Aug 09 2012,6964.99,6979.41,6989.15,6891.49,169.14M,-0.02%
Aug 10 2012,6944.56,6927.71,6955.38,6891.90,142.18M,-0.29%
Aug 13 2012,6909.68,6935.51,6976.31,6882.03,107.66M,-0.50%
Aug 14 2012,6974.39,6965.04,6995.03,6939.50,91.38M,0.94%
Aug 15 2012,6946.80,6953.01,6972.64,6910.39,76.01M,-0.40%
Aug 16 2012,6996.29,6958.39,7001.40,6929.43,115.10M,0.71%
